股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
贵州茅台,600519,2025-10-22 09:31,1462.08,1463.0,1465.0,1460.5,894,130748482.0,0.31,0.05,0.74,0.01
贵州茅台,600519,2025-10-22 09:32,1463.0,1462.64,1464.0,1460.11,334,48892485.0,0.27,-0.02,-0.36,0.0
贵州茅台,600519,2025-10-22 09:33,1462.64,1463.03,1463.03,1462.22,223,32615286.0,0.06,0.03,0.39,0.0
贵州茅台,600519,2025-10-22 09:34,1463.9,1461.21,1464.9,1461.19,191,27942466.0,0.25,-0.12,-1.82,0.0
贵州茅台,600519,2025-10-22 09:35,1461.19,1460.54,1461.29,1460.12,221,32314573.0,0.08,-0.05,-0.67,0.0
贵州茅台,600519,2025-10-22 09:36,1460.55,1461.0,1461.95,1460.54,53,7728504.0,0.1,0.03,0.46,0.0
贵州茅台,600519,2025-10-22 09:37,1461.0,1463.0,1463.0,1460.88,158,23099689.0,0.15,0.14,2.0,0.0
贵州茅台,600519,2025-10-22 09:38,1462.6,1463.41,1463.95,1462.0,152,22238402.0,0.13,0.03,0.41,0.0
贵州茅台,600519,2025-10-22 09:39,1463.4,1464.92,1465.0,1463.4,302,44241172.0,0.11,0.1,1.51,0.0
贵州茅台,600519,2025-10-22 09:40,1465.21,1464.0,1465.73,1463.0,199,29143330.0,0.19,-0.06,-0.92,0.0
贵州茅台,600519,2025-10-22 09:41,1464.73,1462.97,1464.73,1462.97,97,14194238.0,0.12,-0.07,-1.03,0.0
贵州茅台,600519,2025-10-22 09:42,1462.32,1460.63,1462.33,1460.6,199,29086798.0,0.12,-0.16,-2.34,0.0
贵州茅台,600519,2025-10-22 09:43,1460.53,1460.0,1461.24,1459.0,327,47698439.0,0.15,-0.04,-0.63,0.0
贵州茅台,600519,2025-10-22 09:44,1459.04,1460.01,1461.24,1459.04,114,16648253.0,0.15,0.0,0.01,0.0
贵州茅台,600519,2025-10-22 09:45,1460.0,1458.27,1460.0,1458.11,210,30643219.0,0.13,-0.12,-1.74,0.0
贵州茅台,600519,2025-10-22 09:46,1458.21,1461.19,1461.22,1458.21,212,30936240.0,0.21,0.2,2.92,0.0
贵州茅台,600519,2025-10-22 09:47,1461.0,1459.04,1461.18,1459.04,105,15328288.0,0.15,-0.15,-2.15,0.0
贵州茅台,600519,2025-10-22 09:48,1460.0,1460.0,1460.96,1459.99,78,11388445.0,0.07,0.07,0.96,0.0
贵州茅台,600519,2025-10-22 09:49,1460.01,1459.97,1460.4,1459.0,106,15470361.0,0.1,0.0,-0.03,0.0
贵州茅台,600519,2025-10-22 09:50,1459.12,1458.4,1459.13,1458.4,108,15755769.0,0.05,-0.11,-1.57,0.0
贵州茅台,600519,2025-10-22 09:51,1458.41,1458.4,1458.78,1458.33,81,11813402.0,0.03,0.0,0.0,0.0
贵州茅台,600519,2025-10-22 09:52,1458.33,1456.3,1458.4,1456.3,316,46059243.0,0.14,-0.14,-2.1,0.0
贵州茅台,600519,2025-10-22 09:53,1456.53,1457.81,1458.02,1456.53,160,23314664.0,0.1,0.1,1.51,0.0
贵州茅台,600519,2025-10-22 09:54,1457.02,1456.02,1457.05,1456.0,204,29708709.0,0.07,-0.12,-1.79,0.0
贵州茅台,600519,2025-10-22 09:55,1456.0,1457.99,1457.99,1456.0,238,34676681.0,0.14,0.14,1.97,0.0
贵州茅台,600519,2025-10-22 09:56,1457.99,1459.98,1459.98,1457.21,108,15755584.0,0.19,0.14,1.99,0.0
贵州茅台,600519,2025-10-22 09:57,1460.0,1459.0,1460.02,1458.83,80,11677178.0,0.08,-0.07,-0.98,0.0
贵州茅台,600519,2025-10-22 09:58,1460.0,1460.63,1460.63,1459.21,81,11827139.0,0.1,0.11,1.63,0.0
贵州茅台,600519,2025-10-22 09:59,1460.5,1459.13,1460.67,1459.13,76,11097487.0,0.11,-0.1,-1.5,0.0
贵州茅台,600519,2025-10-22 10:00,1459.07,1458.83,1460.14,1458.81,106,15466454.0,0.09,-0.02,-0.3,0.0
贵州茅台,600519,2025-10-22 10:01,1460.0,1458.85,1460.32,1458.83,51,7444863.0,0.1,0.0,0.02,0.0
贵州茅台,600519,2025-10-22 10:02,1458.85,1458.0,1459.96,1458.0,118,17214878.0,0.13,-0.06,-0.85,0.0
贵州茅台,600519,2025-10-22 10:03,1458.55,1458.0,1458.58,1457.8,73,10645442.0,0.05,0.0,0.0,0.0
贵州茅台,600519,2025-10-22 10:04,1457.93,1458.95,1459.85,1457.34,107,15606440.0,0.17,0.07,0.95,0.0
贵州茅台,600519,2025-10-22 10:05,1460.0,1459.71,1460.0,1458.41,136,19846338.0,0.11,0.05,0.76,0.0
贵州茅台,600519,2025-10-22 10:06,1459.7,1459.68,1459.8,1458.31,78,11383638.0,0.1,0.0,-0.03,0.0
贵州茅台,600519,2025-10-22 10:07,1459.6,1458.99,1459.7,1458.51,106,15466733.0,0.08,-0.05,-0.69,0.0
贵州茅台,600519,2025-10-22 10:08,1460.0,1459.97,1460.14,1459.08,186,27077184.0,0.07,0.07,0.98,0.0
贵州茅台,600519,2025-10-22 10:09,1459.54,1459.82,1460.34,1459.1,116,16950094.0,0.08,-0.01,-0.15,0.0
贵州茅台,600519,2025-10-22 10:10,1459.8,1461.44,1461.49,1459.8,169,24683808.0,0.12,0.11,1.62,0.0
贵州茅台,600519,2025-10-22 10:11,1461.43,1460.07,1461.44,1460.03,77,11247851.0,0.1,-0.09,-1.37,0.0
贵州茅台,600519,2025-10-22 10:12,1460.07,1460.09,1461.15,1460.0,60,8762700.0,0.08,0.0,0.02,0.0
贵州茅台,600519,2025-10-22 10:13,1461.14,1462.0,1462.0,1461.14,90,13153676.0,0.06,0.13,1.91,0.0
贵州茅台,600519,2025-10-22 10:14,1461.16,1461.95,1461.95,1460.19,72,10521522.0,0.12,0.0,-0.05,0.0
贵州茅台,600519,2025-10-22 10:15,1460.36,1461.11,1462.0,1460.36,45,6577894.0,0.11,-0.06,-0.84,0.0
贵州茅台,600519,2025-10-22 10:16,1461.1,1462.95,1462.95,1461.0,123,17976808.0,0.13,0.13,1.84,0.0
贵州茅台,600519,2025-10-22 10:17,1462.49,1462.37,1462.95,1461.03,106,15492287.0,0.13,-0.04,-0.58,0.0
贵州茅台,600519,2025-10-22 10:18,1462.52,1462.0,1462.53,1461.12,39,5702184.0,0.1,-0.03,-0.37,0.0
贵州茅台,600519,2025-10-22 10:19,1461.15,1460.55,1462.2,1460.55,29,4237384.0,0.11,-0.1,-1.45,0.0
贵州茅台,600519,2025-10-22 10:20,1460.5,1460.5,1462.0,1460.45,72,10519929.0,0.11,0.0,-0.05,0.0
贵州茅台,600519,2025-10-22 10:21,1460.5,1460.0,1460.59,1459.8,81,11827212.0,0.05,-0.03,-0.5,0.0
贵州茅台,600519,2025-10-22 10:22,1459.61,1460.99,1461.0,1459.61,48,7009888.0,0.1,0.07,0.99,0.0
贵州茅台,600519,2025-10-22 10:23,1461.0,1461.5,1461.54,1459.62,35,5113281.0,0.13,0.03,0.51,0.0
贵州茅台,600519,2025-10-22 10:24,1460.3,1460.0,1461.44,1459.81,86,12558174.0,0.11,-0.1,-1.5,0.0
贵州茅台,600519,2025-10-22 10:25,1460.0,1461.27,1461.28,1459.8,55,8031850.0,0.1,0.09,1.27,0.0
贵州茅台,600519,2025-10-22 10:26,1460.0,1460.0,1461.39,1459.81,36,5256444.0,0.11,-0.09,-1.27,0.0
贵州茅台,600519,2025-10-22 10:27,1460.0,1459.59,1461.3,1459.59,118,17227861.0,0.12,-0.03,-0.41,0.0
贵州茅台,600519,2025-10-22 10:28,1459.58,1459.9,1461.26,1458.95,135,19703905.0,0.16,0.02,0.31,0.0
贵州茅台,600519,2025-10-22 10:29,1459.9,1459.9,1461.4,1459.22,55,8031233.0,0.15,0.0,0.0,0.0
贵州茅台,600519,2025-10-22 10:30,1460.0,1461.26,1461.33,1459.9,36,5257965.0,0.1,0.09,1.36,0.0
贵州茅台,600519,2025-10-22 10:31,1460.0,1459.99,1461.22,1459.28,29,4234192.0,0.13,-0.09,-1.27,0.0
贵州茅台,600519,2025-10-22 10:32,1459.99,1459.99,1461.14,1459.99,40,5840562.0,0.08,0.0,0.0,0.0
贵州茅台,600519,2025-10-22 10:33,1459.98,1459.89,1459.99,1459.28,18,2629163.0,0.05,-0.01,-0.1,0.0
贵州茅台,600519,2025-10-22 10:34,1459.8,1460.88,1460.88,1459.29,34,4964157.0,0.11,0.07,0.99,0.0
贵州茅台,600519,2025-10-22 10:35,1459.31,1459.5,1460.0,1459.3,31,4524559.0,0.05,-0.09,-1.38,0.0
贵州茅台,600519,2025-10-22 10:36,1459.31,1460.0,1460.0,1459.29,47,6859361.0,0.05,0.03,0.5,0.0
贵州茅台,600519,2025-10-22 10:37,1459.5,1459.69,1460.05,1459.3,28,4087129.0,0.05,-0.02,-0.31,0.0
贵州茅台,600519,2025-10-22 10:38,1459.69,1459.28,1460.1,1459.28,36,5254867.0,0.06,-0.03,-0.41,0.0
贵州茅台,600519,2025-10-22 10:39,1459.9,1459.82,1459.92,1459.28,28,4087009.0,0.04,0.04,0.54,0.0
贵州茅台,600519,2025-10-22 10:40,1459.8,1459.48,1460.5,1459.48,38,5547725.0,0.07,-0.02,-0.34,0.0
贵州茅台,600519,2025-10-22 10:41,1459.39,1460.29,1461.0,1459.39,42,6132761.0,0.11,0.06,0.81,0.0
贵州茅台,600519,2025-10-22 10:42,1460.0,1460.9,1460.96,1459.2,46,6716788.0,0.12,0.04,0.61,0.0
贵州茅台,600519,2025-10-22 10:43,1460.0,1461.13,1461.13,1459.66,79,11540529.0,0.1,0.02,0.23,0.0
贵州茅台,600519,2025-10-22 10:44,1460.85,1461.0,1461.18,1459.95,37,5405431.0,0.08,-0.01,-0.13,0.0
贵州茅台,600519,2025-10-22 10:45,1461.06,1459.95,1461.18,1459.95,57,8324514.0,0.08,-0.07,-1.05,0.0
贵州茅台,600519,2025-10-22 10:46,1460.13,1459.27,1460.13,1459.27,37,5400699.0,0.06,-0.05,-0.68,0.0
贵州茅台,600519,2025-10-22 10:47,1460.0,1459.4,1460.13,1459.4,26,3795601.0,0.05,0.01,0.13,0.0
贵州茅台,600519,2025-10-22 10:48,1460.0,1462.18,1462.18,1460.0,110,16073706.0,0.15,0.19,2.78,0.0
贵州茅台,600519,2025-10-22 10:49,1462.2,1462.41,1462.42,1462.14,74,10820700.0,0.02,0.02,0.23,0.0
贵州茅台,600519,2025-10-22 10:50,1461.05,1461.34,1462.42,1461.05,49,7163023.0,0.09,-0.07,-1.07,0.0
贵州茅台,600519,2025-10-22 10:51,1462.0,1462.0,1462.3,1461.34,22,3216354.0,0.07,0.05,0.66,0.0
贵州茅台,600519,2025-10-22 10:52,1462.0,1461.25,1462.24,1461.25,39,5701582.0,0.07,-0.05,-0.75,0.0
贵州茅台,600519,2025-10-22 10:53,1462.19,1462.2,1462.28,1461.16,32,4678526.0,0.08,0.07,0.95,0.0
贵州茅台,600519,2025-10-22 10:54,1462.29,1461.28,1462.29,1461.17,31,4532159.0,0.08,-0.06,-0.92,0.0
贵州茅台,600519,2025-10-22 10:55,1462.15,1462.3,1462.37,1461.37,38,5556321.0,0.07,0.07,1.02,0.0
贵州茅台,600519,2025-10-22 10:56,1462.0,1461.31,1462.37,1461.31,20,2924383.0,0.07,-0.07,-0.99,0.0
贵州茅台,600519,2025-10-22 10:57,1462.36,1461.37,1462.4,1461.36,43,6287959.0,0.07,0.0,0.06,0.0
贵州茅台,600519,2025-10-22 10:58,1461.31,1461.8,1462.38,1461.31,40,5848365.0,0.07,0.03,0.43,0.0
贵州茅台,600519,2025-10-22 10:59,1462.29,1461.5,1462.4,1461.4,38,5555864.0,0.07,-0.02,-0.3,0.0
贵州茅台,600519,2025-10-22 11:00,1462.16,1462.0,1462.21,1461.5,39,5701980.0,0.05,0.03,0.5,0.0
贵州茅台,600519,2025-10-22 11:01,1462.0,1460.7,1462.24,1460.7,87,12715109.0,0.11,-0.09,-1.3,0.0
贵州茅台,600519,2025-10-22 11:02,1460.28,1460.7,1460.7,1460.0,32,4672335.0,0.05,0.0,0.0,0.0
贵州茅台,600519,2025-10-22 11:03,1460.16,1460.95,1460.95,1460.0,50,7300463.0,0.07,0.02,0.25,0.0
贵州茅台,600519,2025-10-22 11:04,1460.0,1459.86,1460.97,1459.86,34,4964886.0,0.08,-0.07,-1.09,0.0
贵州茅台,600519,2025-10-22 11:05,1459.5,1458.8,1459.5,1458.8,72,10504804.0,0.05,-0.07,-1.06,0.0
贵州茅台,600519,2025-10-22 11:06,1458.87,1459.6,1459.6,1458.82,38,5544384.0,0.05,0.05,0.8,0.0
贵州茅台,600519,2025-10-22 11:07,1459.6,1458.9,1460.68,1458.9,21,3065415.0,0.12,-0.05,-0.7,0.0
贵州茅台,600519,2025-10-22 11:08,1458.89,1460.59,1460.59,1458.89,50,7297865.0,0.12,0.12,1.69,0.0
贵州茅台,600519,2025-10-22 11:09,1459.04,1459.07,1460.51,1459.04,25,3649731.0,0.1,-0.1,-1.52,0.0
贵州茅台,600519,2025-10-22 11:10,1460.39,1458.95,1460.39,1458.95,43,6274973.0,0.1,-0.01,-0.12,0.0
贵州茅台,600519,2025-10-22 11:11,1459.1,1459.82,1459.82,1458.95,25,3647851.0,0.06,0.06,0.87,0.0
贵州茅台,600519,2025-10-22 11:12,1458.98,1459.5,1459.81,1458.31,42,6127260.0,0.1,-0.02,-0.32,0.0
贵州茅台,600519,2025-10-22 11:13,1459.81,1460.0,1460.0,1458.47,22,3211388.0,0.1,0.03,0.5,0.0
贵州茅台,600519,2025-10-22 11:14,1459.96,1460.0,1460.0,1459.0,15,2189666.0,0.07,0.0,0.0,0.0
贵州茅台,600519,2025-10-22 11:15,1459.01,1458.91,1459.18,1458.91,17,2480227.0,0.02,-0.07,-1.09,0.0
贵州茅台,600519,2025-10-22 11:16,1459.27,1460.45,1460.45,1459.01,39,5694007.0,0.1,0.11,1.54,0.0
贵州茅台,600519,2025-10-22 11:17,1460.68,1459.59,1460.96,1459.59,32,4672111.0,0.09,-0.06,-0.86,0.0
贵州茅台,600519,2025-10-22 11:18,1459.59,1460.0,1460.0,1459.49,42,6131330.0,0.03,0.03,0.41,0.0
贵州茅台,600519,2025-10-22 11:19,1460.0,1460.15,1460.23,1460.0,12,1752141.0,0.02,0.01,0.15,0.0
贵州茅台,600519,2025-10-22 11:20,1460.15,1459.54,1460.15,1459.54,14,2044076.0,0.04,-0.04,-0.61,0.0
贵州茅台,600519,2025-10-22 11:21,1459.49,1459.48,1459.49,1458.03,87,12690447.0,0.1,0.0,-0.06,0.0
贵州茅台,600519,2025-10-22 11:22,1459.4,1459.0,1459.48,1458.8,8,1167310.0,0.05,-0.03,-0.48,0.0
贵州茅台,600519,2025-10-22 11:23,1458.4,1458.41,1459.0,1458.4,13,1896044.0,0.04,-0.04,-0.59,0.0
贵州茅台,600519,2025-10-22 11:24,1459.1,1460.0,1460.0,1458.95,49,7150685.0,0.07,0.11,1.59,0.0
贵州茅台,600519,2025-10-22 11:25,1459.1,1460.01,1460.28,1459.1,32,4672449.0,0.08,0.0,0.01,0.0
贵州茅台,600519,2025-10-22 11:26,1460.0,1460.2,1460.2,1458.94,48,7007332.0,0.09,0.01,0.19,0.0
贵州茅台,600519,2025-10-22 11:27,1459.94,1460.25,1461.18,1459.94,28,4089732.0,0.08,0.0,0.05,0.0
贵州茅台,600519,2025-10-22 11:28,1460.99,1460.01,1460.99,1460.0,18,2628644.0,0.07,-0.02,-0.24,0.0
贵州茅台,600519,2025-10-22 11:29,1460.25,1459.91,1461.0,1459.91,47,6863329.0,0.07,-0.01,-0.1,0.0
贵州茅台,600519,2025-10-22 11:30,1459.15,1460.37,1461.95,1459.15,55,8034970.0,0.19,0.03,0.46,0.0
贵州茅台,600519,2025-10-22 13:01,1460.09,1461.16,1461.5,1460.0,155,22635832.0,0.1,0.05,0.79,0.0
贵州茅台,600519,2025-10-22 13:02,1460.84,1459.87,1460.84,1458.41,89,12990998.0,0.17,-0.09,-1.29,0.0
贵州茅台,600519,2025-10-22 13:03,1459.87,1459.73,1459.89,1459.49,24,3503500.0,0.03,-0.01,-0.14,0.0
贵州茅台,600519,2025-10-22 13:04,1459.89,1460.12,1461.0,1459.89,58,8472055.0,0.08,0.03,0.39,0.0
贵州茅台,600519,2025-10-22 13:05,1460.99,1461.79,1461.8,1460.99,45,6576805.0,0.06,0.11,1.67,0.0
贵州茅台,600519,2025-10-22 13:06,1461.79,1462.22,1462.42,1461.79,123,18013108.0,0.04,0.03,0.43,0.0
贵州茅台,600519,2025-10-22 13:07,1462.4,1462.37,1462.41,1462.0,21,3070849.0,0.03,0.01,0.15,0.0
贵州茅台,600519,2025-10-22 13:08,1462.4,1462.29,1462.42,1462.22,50,7311859.0,0.01,-0.01,-0.08,0.0
贵州茅台,600519,2025-10-22 13:09,1462.42,1462.56,1462.97,1462.39,66,9653412.0,0.04,0.02,0.27,0.0
贵州茅台,600519,2025-10-22 13:10,1462.97,1462.96,1463.0,1462.92,37,5412924.0,0.01,0.03,0.4,0.0
贵州茅台,600519,2025-10-22 13:11,1462.96,1462.57,1462.96,1462.43,24,3510328.0,0.04,-0.03,-0.39,0.0
贵州茅台,600519,2025-10-22 13:12,1462.4,1460.99,1462.4,1460.99,53,7747969.0,0.1,-0.11,-1.58,0.0
贵州茅台,600519,2025-10-22 13:13,1461.01,1461.04,1462.05,1461.0,25,3653932.0,0.07,0.0,0.05,0.0
贵州茅台,600519,2025-10-22 13:14,1461.05,1462.25,1462.25,1461.05,35,5116434.0,0.08,0.08,1.21,0.0
贵州茅台,600519,2025-10-22 13:15,1462.17,1462.4,1462.4,1462.13,57,8334402.0,0.02,0.01,0.15,0.0
贵州茅台,600519,2025-10-22 13:16,1462.41,1462.96,1463.0,1462.41,80,11702354.0,0.04,0.04,0.56,0.0
贵州茅台,600519,2025-10-22 13:17,1462.65,1462.95,1462.95,1462.65,18,2633248.0,0.02,0.0,-0.01,0.0
贵州茅台,600519,2025-10-22 13:18,1462.9,1462.62,1462.9,1462.62,25,3656891.0,0.02,-0.02,-0.33,0.0
贵州茅台,600519,2025-10-22 13:19,1462.5,1461.9,1462.5,1461.9,25,3655031.0,0.04,-0.05,-0.72,0.0
贵州茅台,600519,2025-10-22 13:20,1461.05,1461.06,1461.89,1461.05,22,3214913.0,0.06,-0.06,-0.84,0.0
贵州茅台,600519,2025-10-22 13:21,1461.06,1461.07,1461.89,1461.06,33,4823205.0,0.06,0.0,0.01,0.0
贵州茅台,600519,2025-10-22 13:22,1461.84,1460.96,1461.84,1460.96,51,7452263.0,0.06,-0.01,-0.11,0.0
贵州茅台,600519,2025-10-22 13:23,1460.96,1460.0,1461.0,1460.0,34,4965730.0,0.07,-0.07,-0.96,0.0
贵州茅台,600519,2025-10-22 13:24,1460.0,1459.64,1460.49,1459.6,52,7591636.0,0.06,-0.02,-0.36,0.0
